timestamp,s_no,report_week,hospital_code,hospital_type,federal_entity,administrative_entity,power_outage_equipment_failure_specify,power_generator_available,power_outage_mortatility,power_outage_deaths_count,power_outage,power_outage_avg_failures_per_day,power_outage_days_count,power_outage_avg_duration,power_outage_equipment_failure,mortality_hospital_failure_cardiovascular_count,mortality_hospital_failure_cardiovascular_cause,mortality_hospital_failure_trauma_count,mortality_hospital_failure_trauma_cause,rrt_avail_high_flow_catheters,rrt_avail_blood_tests_hiv_hvb_hvc_vdr,rrt_avail_immediate_access_urea_reduction_bun,operability_icu,operability_icu_p,operability_er,operability_sx,operability_lab,operability_uls,operability_ct_mri,operability_xr,er_avail_adrenalin,er_avail_atropine,er_avail_dopamine,er_avail_cephalosporins_betalactams,er_avail_aminoglycosides_quinolone,er_avail_vancomycin_clindamycin,er_avail_lidocaine,er_avail_minor_opioids,er_avail_major_opioids,er_avail_iv_fluids,er_avail_diazepam_dph,er_avail_heparin,er_avail_steroids,er_avail_insulin,er_avail_asthma,er_avail_blood_pressure,er_avail_defibrillator,er_avail_ott_intubation,er_avail_catheter,er_avail_oxygen_suction,sx_avail_minor_opioids,sx_avail_major_opioids,sx_avail_anesthetic_gases,sx_avail_anesthetics_iv,sx_avail_relaxants,sx_avail_ott_intubation,sx_avail_patient_lingerie_kit,sx_avail_disposables_mask_gloves_gown,sx_avail_oxygen_suction,rrt_avail,rrt_operability,rrt_avg_daily_patients,rrt_peritoneal_count,rrt_num_hemodialysis,rrt_num_hemodialysis_acute,rrt_num_hemodialysis_chronic,rrt_num_hemodialysis_equipments,rrt_num_hemodialysis_equipments_operability,rrt_hemodialysis_avail_filter,rrt_hemodialysis_avail_lines,rrt_hemodialysis_avail_kit_hemodialysis,rrt_hemodialysis_avail_iron,rrt_hemodialysis_avail_b_complex,rrt_hemodialysis_avail_calcium,rrt_hemodialysis_avail_zemblar,rrt_reverse_osmosis_unit_operability,rrt_staff_nephrology,rrt_staff_md,rrt_staff_resident,rrt_staff_nurse,rrt_staff_nurse_nephrologist,arch_beds_count,op_beds_count,op_beds_er_count,nutr_avail,nutr_operability,nutr_num,nutr_daily_freq_meal,nutr_quality,nutr_freq_milk_formulas,pneumonia_antibiotic_therapy_latency,mi_thrombolytic_treatment_latency,er_staff_residents_and_rural_day_on_call,er_staff_specialist_day_on_call,er_staff_mic_day_on_call,er_staff_nurse_day_on_call,er_staff_non_professional_nurse_day_on_call,er_staff_residents_and_rural_night_on_call,er_staff_specialist_night_on_call,er_staff_mic_night_on_call,op_pavilions_count,er_staff_nurse_night_on_call,er_staff_non_professional_nurse_night_on_call,wash_failure_icu,wash_failure_er,wash_failure_sx
2019-07-12,207,27 2019,DCA000,type IV,Dtto Capital,Military health,,Works between 3 and 5 days,No,,No,0,Within 3 days,1899-12-30T00: 00: 00.000Z,Do not,,,,,,,,Every day,Every day,Every day,Every day,nonoperating,nonoperating,nonoperating,Less than 3 days,Every day,Every day,Every day,There were no,There were no,There were no,Every day,Between 1 and 2 days,There were no,Every day,Days 3 to 5,Days 3 to 5,Between 1 and 2 days,Between 1 and 2 days,Between 1 and 2 days,Between 1 and 2 days,Days 3 to 5,Between 1 and 2 days,Days 3 to 5,Days 3 to 5,Between 1 and 2 days,There were no,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,There were no,There were no,Every day,SÃ,SÃ,,,,,,,,,,,,,,,,,,,,,465,420,9,SÃ,SÃ,Every day,"3 meals to the day (breakfast, lunch and dinner) is served",No recommendations from the specialist remain as to the menu served,There was not any public day-dairy formulas,1899-12-30T00: 30: 00.000Z,1899-12-30T00: 50: 00.000Z,22,10,6,9,6,14,8,9,9,9,5,There was water every day,There was water every day,There was water every day
2019-07-13,739,"28, 2019",TAC001,type IV,Tachira,Gob. State,,It works every day,Yes,,Yes,1,Within 3 days,1899-12-30T01: 00: 00.000Z,Do not,,,,,Every day,There were no,Every day,Every day,Every day,Every day,Every day,Days 3 to 5,nonoperating,nonoperating,Every day,Every day,Every day,Every day,Days 3 to 5,There were no,There were no,Days 3 to 5,There were no,There were no,There were no,Every day,Every day,Every day,Every day,Every day,There were no,Every day,Every day,Days 3 to 5,Every day,Every day,Every day,Days 3 to 5,Every day,Every day,Every day,There were no,There were no,Every day,SÃ,SÃ,12.0,0.0,,2.0,10.0,10.0,6.0,Every day,Every day,Every day,There were no,There were no,There were no,There were no,Every day,Every day,Every day,Every day,Every day,Every day,900,400,75,SÃ,SÃ,Every day,"3 meals to the day (breakfast, lunch and dinner) is served",No recommendations from the specialist remain as to the menu served,Was-dairy formulas 3 to 5 days,1899-12-30T02: 00: 00.000Z,1899-12-30T00: 15: 00.000Z,12,4,4,14,10,14,4,4,3,9,9,There was water every day,There was water every day,There was water every day
2019-07-13,538,"28, 2019",GUA000,type III,Guarico,MPPS,None,It works every day,Yes,0.0,Yes,3,Every day,1899-12-30T02: 00: 00.000Z,Do not,0.0,,0.0,,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Less than 3 days,nonoperating,Every day,Every day,Every day,Every day,Every day,There were no,Every day,Every day,Every day,There were no,Every day,Every day,Every day,Every day,Every day,Every day,There were no,Every day,Every day,There were no,Every day,Every day,There were no,Every day,Every day,Every day,Every day,Every day,Every day,Every day,SÃ,SÃ,8.0,2.0,18.0,0.0,18.0,6.0,4.0,Every day,Every day,Every day,Every day,Every day,There were no,There were no,Every day,Every day,Every day,There were no,Every day,Every day,160,182,20,SÃ,SÃ,Every day,"3 meals to the day (breakfast, lunch and dinner) is served",No recommendations from the specialist remain as to the menu served,There was not any public day-dairy formulas,1899-12-30T00: 30: 00.000Z,1899-12-30T00: 30: 00.000Z,22,12,1,12,0,12,5,1,4,6,0,There was water every day,There was water every day,There was water every day
2019-07-13,141,"26, 2019",BOL000,type IV,Bolivar,BOLA ISP VAR ?? ,,It works less than 3 days,No,,No,0,Within 3 days,1899-12-30T00: 05: 00.000Z,Do not,5.0,"Equipment, drugs",3.0,"Equipment, drugs",,,,Every day,Every day,Every day,Every day,Less than 3 days,nonoperating,nonoperating,nonoperating,Days 3 to 5,Days 3 to 5,Days 3 to 5,Between 1 and 2 days,Between 1 and 2 days,There were no,Days 3 to 5,There were no,There were no,Between 1 and 2 days,Between 1 and 2 days,Between 1 and 2 days,There were no,Days 3 to 5,Between 1 and 2 days,There were no,Every day,Every day,Every day,Every day,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,Between 1 and 2 days,Every day,Between 1 and 2 days,Days 3 to 5,Days 3 to 5,Do not,,,,,,,,,,,,,,,,,,,,,,470,320,60,SÃ,Do not,,,,,1899-12-30T02: 00: 00.000Z,1899-12-30T00: 45: 00.000Z,15,4,3,20,0,11,0,2,3,10,0,"3 to 5 days, no alternative support","3 to 5 days, no alternative support","3 to 5 days, no alternative support"
2019-07-13,688,"28, 2019",TAC000,type III,Tachira,IVSS,,It works every day,Yes,,Yes,1,Within 3 days,1899-12-30T00: 45: 00.000Z,Do not,,,,,There were no,There were no,There were no,Every day,Every day,Every day,Every day,Every day,nonoperating,Has never been,Every day,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,There were no,There were no,Every day,Days 3 to 5,There were no,Days 3 to 5,Every day,Every day,Days 3 to 5,Between 1 and 2 days,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Days 3 to 5,Days 3 to 5,Every day,SÃ,SÃ,9.0,0.0,,1.0,8.0,,,Every day,Every day,Every day,Every day,Every day,There were no,There were no,Every day,Every day,Days 3 to 5,Every day,Every day,Every day,160,82,45,SÃ,SÃ,Every day,"3 meals to the day (breakfast, lunch and dinner) is served",No recommendations from the specialist remain as to the menu served,Was-dairy formulas 3 to 5 days,1899-12-30T01: 00: 00.000Z,1899-12-30T00: 10: 00.000Z,10,5,0,6,7,10,4,0,3,6,5,There was water every day,There was water every day,There was water every day
2019-07-13,133,27 2019,BOL000,type IV,Bolivar,BOLA ISP VAR ?? ,,It works less than 3 days,No,,No,0,Within 3 days,1899-12-30T00: 05: 00.000Z,Do not,7.0,"Equipment, drugs",2.0,"Equipment, drugs",,,,Every day,Every day,Every day,Days 3 to 5,Less than 3 days,nonoperating,nonoperating,nonoperating,Days 3 to 5,Days 3 to 5,Between 1 and 2 days,There were no,Between 1 and 2 days,There were no,Days 3 to 5,Days 3 to 5,Between 1 and 2 days,There were no,Between 1 and 2 days,There were no,Days 3 to 5,Days 3 to 5,Days 3 to 5,There were no,Every day,Every day,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,Between 1 and 2 days,Between 1 and 2 days,Between 1 and 2 days,Every day,Between 1 and 2 days,Days 3 to 5,Days 3 to 5,Do not,,,,,,,,,,,,,,,,,,,,,,470,320,60,SÃ,Do not,,,,,1899-12-30T02: 00: 00.000Z,1899-12-30T00: 40: 00.000Z,15,4,3,20,0,11,0,2,4,10,0,"3 to 5 days, no alternative support","3 to 5 days, no alternative support","3 to 5 days, no alternative support"
2019-07-14,904,"28, 2019",FAL000,type IV,Falcon,Gob. State,,It works every day,No,0.0,No,0,Within 3 days,1899-12-30T00: 00: 00.000Z,Do not,2.0,Medicines,1.0,"Medicines, Human Resources",Every day,There were no,There were no,Every day,Every day,Every day,Every day,nonoperating,nonoperating,nonoperating,nonoperating,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,There were no,Every day,Every day,There were no,There were no,There were no,There were no,There were no,Every day,Days 3 to 5,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,SÃ,SÃ,37.0,17.0,20.0,13.0,26.0,6.0,6.0,Every day,Every day,Every day,Between 1 and 2 days,There were no,Between 1 and 2 days,Every day,Every day,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,300,211,30,SÃ,SÃ,Every day,They served less than 3 meals to the day,No recommendations from the specialist remain as to the menu served,There was not any public day-dairy formulas,1899-12-30T04: 11: 00.000Z,1899-12-30T03: 34: 00.000Z,19,7,0,18,7,12,3,0,1,14,5,There was water every day,There was water every day,There was water every day
2019-07-15,658,"28, 2019",SUC000,type IV,Sucre,"MPPS, Gob. State",None,It works every day,No,0.0,No,0,Within 3 days,1899-12-30T00: 00: 00.000Z,Do not,0.0,,0.0,,There were no,There were no,Every day,Every day,nonoperating,Every day,Every day,nonoperating,nonoperating,Less than 3 days,nonoperating,Days 3 to 5,Days 3 to 5,Every day,Days 3 to 5,Days 3 to 5,Days 3 to 5,Every day,There were no,Days 3 to 5,Every day,Every day,Every day,Every day,Every day,There were no,Every day,Every day,Every day,Every day,Every day,There were no,Between 1 and 2 days,Every day,Every day,Every day,Every day,There were no,There were no,Every day,SÃ,SÃ,30.0,7.0,23.0,10.0,20.0,13.0,6.0,Between 1 and 2 days,Days 3 to 5,Every day,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,Every day,There were no,Every day,Days 3 to 5,Days 3 to 5,350,270,45,SÃ,SÃ,Days 3 to 5,They served less than 3 meals to the day,No recommendations from the specialist remain as to the menu served,There has never been-dairy formulas,1899-12-30T04: 00: 00.000Z,1899-12-30T01: 00: 00.000Z,22,8,10,15,5,22,8,10,7,12,4,"3 to 5 days, with alternate support","3 to 5 days, with alternate support","3 to 5 days, with alternate support"
2019-07-15,772,"28, 2019",VAR000,type II,Vargas,IVSS,0,It works every day,Yes,0.0,Yes,1,Days 3 to 5,1899-12-30T04: 00: 00.000Z,Do not,0.0,,0.0,,Every day,There were no,Every day,nonoperating,Has never been,Every day,Every day,nonoperating,nonoperating,Has never been,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,There were no,There were no,Every day,SÃ,SÃ,16.0,0.0,0.0,0.0,16.0,26.0,18.0,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Has never been,There were no,Every day,Every day,140,120,16,SÃ,SÃ,Every day,"3 meals to the day (breakfast, lunch and dinner) is served",recommendations of the specialist remain as to the menu served,There was every day-dairy formulas,1899-12-30T00: 30: 00.000Z,1899-12-30T00: 15: 00.000Z,4,2,0,16,0,4,2,0,2,6,0,"3 to 5 days, no alternative support","3 to 5 days, no alternative support","3 to 5 days, no alternative support"
2019-07-15,933,27 2019,LAR000,type IV,Lara,MPPS,,It works every day,No,0.0,No,0,Within 3 days,1899-12-30T00: 00: 00.000Z,Do not,1.0,Medicines,0.0,,Every day,There were no,Days 3 to 5,Every day,nonoperating,Every day,Every day,nonoperating,Days 3 to 5,nonoperating,Less than 3 days,Every day,Every day,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,There were no,There were no,There were no,Days 3 to 5,Every day,Every day,There were no,Every day,Every day,There were no,Every day,Days 3 to 5,Days 3 to 5,Every day,There were no,There were no,Every day,Every day,Every day,Every day,There were no,Every day,Every day,SÃ,SÃ,50.0,0.0,50.0,0.0,50.0,15.0,11.0,Every day,Every day,Every day,There were no,There were no,There were no,There were no,Every day,Days 3 to 5,There were no,There were no,Days 3 to 5,Days 3 to 5,545,490,65,SÃ,SÃ,Every day,"3 meals to the day (breakfast, lunch and dinner) is served",No recommendations from the specialist remain as to the menu served,There was not any public day-dairy formulas,1899-12-30T16: 00: 00.000Z,1899-12-30T13: 00: 00.000Z,5,2,3,6,3,3,2,3,6,5,0,"3 to 5 days, no alternative support","3 to 5 days, no alternative support","3 to 5 days, no alternative support"
2019-07-15,235,27 2019,DCA003,type IV,Dtto Capital,Institute autonomic,0,Works between 3 and 5 days,No,0.0,No,0,Within 3 days,1899-12-30T00: 00: 00.000Z,Do not,5.0,"Equipment, medicines, Human Resources",1.0,Team Human Resource,,,,Every day,Every day,Every day,Every day,nonoperating,Days 3 to 5,nonoperating,Days 3 to 5,Every day,Every day,Days 3 to 5,There were no,Days 3 to 5,There were no,Every day,Every day,There were no,Between 1 and 2 days,Days 3 to 5,Every day,Between 1 and 2 days,Days 3 to 5,Every day,Days 3 to 5,Every day,Every day,Days 3 to 5,Days 3 to 5,Every day,Days 3 to 5,Days 3 to 5,Between 1 and 2 days,Between 1 and 2 days,Days 3 to 5,There were no,Days 3 to 5,Days 3 to 5,SÃ,Do not,,,,,,,,,,,,,,,,,,,,,1500,800,30,SÃ,SÃ,Every day,They served less than 3 meals to the day,No recommendations from the specialist remain as to the menu served,Was-dairy formulas 3 to 5 days,1900-01-02T00: 00: 00.000Z,1899-12-30T00: 15: 00.000Z,25,3,5,6,3,19,1,1,4,2,2,"<3 days, with alternate support","3 to 5 days, with alternate support","<3 days, with alternate support"
2019-07-15,212,"28, 2019",DCA000,type IV,Dtto Capital,Military health,,Works between 3 and 5 days,No,,No,0,Within 3 days,1899-12-30T00: 00: 00.000Z,Do not,,,,,,,,Every day,Every day,Every day,Every day,nonoperating,nonoperating,nonoperating,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,There were no,There were no,There were no,Every day,Days 3 to 5,There were no,Every day,Every day,There were no,There were no,There were no,There were no,There were no,Every day,Days 3 to 5,Days 3 to 5,Every day,Days 3 to 5,There were no,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,There were no,There were no,Every day,SÃ,SÃ,,,,,,,,,,,,,,,,,,,,,465,420,9,SÃ,SÃ,Every day,"3 meals to the day (breakfast, lunch and dinner) is served",No recommendations from the specialist remain as to the menu served,There was not any public day-dairy formulas,1899-12-31T00: 00: 00.000Z,1899-12-30T00: 45: 00.000Z,17,10,4,7,5,10,5,4,8,7,5,There was water every day,There was water every day,There was water every day
2019-07-15,242,"28, 2019",DCA003,type IV,Dtto Capital,Institute Autonomo,0,Works between 3 and 5 days,No,0.0,No,0,Within 3 days,1899-12-30T00: 00: 00.000Z,Do not,2.0,"Equipment, medicines, Human Resources",1.0,Equipment,,,,Every day,Every day,Every day,Days 3 to 5,nonoperating,Days 3 to 5,nonoperating,Days 3 to 5,Every day,Every day,Every day,There were no,Days 3 to 5,There were no,Every day,Every day,There were no,Between 1 and 2 days,Days 3 to 5,Days 3 to 5,There were no,Days 3 to 5,Days 3 to 5,Days 3 to 5,Every day,Every day,Every day,Days 3 to 5,Every day,Days 3 to 5,Days 3 to 5,Between 1 and 2 days,Between 1 and 2 days,Every day,There were no,Days 3 to 5,Days 3 to 5,SÃ,Do not,,,,,,,,,,,,,,,,,,,,,1500,700,35,SÃ,SÃ,Every day,They served less than 3 meals to the day,No recommendations from the specialist remain as to the menu served,Was-dairy formulas 3 to 5 days,1900-01-02T00: 00: 00.000Z,1899-12-30T00: 25: 00.000Z,25,3,5,6,2,20,1,1,3,2,1,"<3 days, with alternate support",There was water every day,"<3 days, with alternate support"
2019-07-15,191,27 2019,DCA000,type IV,Dtto Capital,Military health,,Works between 3 and 5 days,No,,No,0,Within 3 days,1899-12-30T00: 00: 00.000Z,Do not,,,,,,,,Every day,Every day,Every day,Every day,nonoperating,nonoperating,nonoperating,Less than 3 days,Every day,Every day,Every day,There were no,There were no,There were no,Every day,Between 1 and 2 days,There were no,Every day,Days 3 to 5,Days 3 to 5,Between 1 and 2 days,Between 1 and 2 days,Between 1 and 2 days,Between 1 and 2 days,Days 3 to 5,Between 1 and 2 days,Days 3 to 5,Days 3 to 5,Between 1 and 2 days,There were no,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,There were no,There were no,Every day,SÃ,SÃ,,,,,,,,,,,,,,,,,,,,,465,420,9,SÃ,SÃ,Every day,"3 meals to the day (breakfast, lunch and dinner) is served",No recommendations from the specialist remain as to the menu served,There was not any public day-dairy formulas,1899-12-30T00: 30: 00.000Z,1899-12-30T00: 50: 00.000Z,22,10,6,9,6,14,8,9,9,9,5,There was water every day,There was water every day,There was water every day
2019-07-15,948,27 2019,MON000,type IV,Monagas,MPPS,lifts,It works every day,Yes,0.0,Yes,1,Within 3 days,1899-12-30T02: 00: 00.000Z,SÃ,2.0,"Equipment, drugs",4.0,"Equipment, drugs",Between 1 and 2 days,There were no,There were no,Every day,Every day,Every day,Every day,nonoperating,Less than 3 days,nonoperating,Less than 3 days,There were no,There were no,There were no,Days 3 to 5,Between 1 and 2 days,There were no,There were no,Between 1 and 2 days,There were no,There were no,There were no,There were no,There were no,Between 1 and 2 days,There were no,Between 1 and 2 days,Every day,Every day,There were no,Days 3 to 5,There were no,There were no,There were no,There were no,Between 1 and 2 days,Days 3 to 5,There were no,There were no,Every day,SÃ,SÃ,20.0,8.0,20.0,0.0,28.0,10.0,4.0,Days 3 to 5,Days 3 to 5,There were no,There were no,There were no,There were no,There were no,Days 3 to 5,Days 3 to 5,Every day,Every day,Days 3 to 5,Days 3 to 5,180,160,50,SÃ,SÃ,any public day,They served less than 3 meals to the day,No recommendations from the specialist remain as to the menu served,There was not any public day-dairy formulas,1899-12-30T06: 00: 00.000Z,1899-12-30T06: 00: 00.000Z,12,12,4,6,4,10,0,2,4,3,4,"3 to 5 days, with alternate support","3 to 5 days, with alternate support",There was water every day
2019-07-16,8,27 2019,AMA000,type II,Amazonas,MPPS,,There does not work,Yes,0.0,Yes,1,Within 3 days,1899-12-30T07: 00: 00.000Z,Do not,0.0,,0.0,,,,,Every day,Has never been,Every day,Every day,Days 3 to 5,nonoperating,Has never been,nonoperating,There were no,There were no,There were no,There were no,There were no,There were no,Between 1 and 2 days,There were no,There were no,There were no,There were no,There were no,There were no,There were no,There were no,There were no,There were no,There were no,There were no,Between 1 and 2 days,There were no,There were no,Every day,Every day,Every day,Every day,There were no,There were no,Every day,SÃ,Do not,,,,,,,,,,,,,,,,,,,,,170,75,36,SÃ,SÃ,Every day,They served less than 3 meals to the day,No recommendations from the specialist remain as to the menu served,There was not any public day-dairy formulas,1899-12-30T00: 00: 00.000Z,1899-12-30T00: 00: 00.000Z,0,2,2,2,1,1,2,2,1,3,0,There was no water any public day,There was no water any public day,There was no water any public day
2019-07-16,520,"28, 2019",DCA005,type IV,Dtto Capital,IVSS,,It works every day,No,,No,0,Within 3 days,1899-12-30T00: 00: 00.000Z,Do not,,,,,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,nonoperating,Days 3 to 5,Every day,Every day,Every day,Days 3 to 5,Days 3 to 5,Days 3 to 5,Every day,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,Between 1 and 2 days,Days 3 to 5,Has never been,Has never been,Has never been,Every day,Every day,Every day,Every day,Days 3 to 5,Days 3 to 5,Every day,Every day,Days 3 to 5,Every day,Every day,Days 3 to 5,Every day,SÃ,SÃ,30.0,0.0,30.0,18.0,12.0,15.0,15.0,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Days 3 to 5,Every day,Every day,Every day,Every day,Every day,565,475,30,SÃ,SÃ,Every day,"3 meals to the day (breakfast, lunch and dinner) is served",No recommendations from the specialist remain as to the menu served,There was not any public day-dairy formulas,1899-12-30T00: 30: 00.000Z,1899-12-30T00: 45: 00.000Z,25,10,0,23,0,16,4,0,3,16,2,"3 to 5 days, with alternate support","3 to 5 days, with alternate support","3 to 5 days, with alternate support"
2019-07-16,36,"28, 2019",AMA000,type II,Amazonas,MPPS,,It works less than 3 days,Yes,,Yes,1,Within 3 days,1899-12-30T08: 00: 00.000Z,Do not,2.0,"Equipment, drugs, human resources, structural Rest (water, O2, suction)",0.0,,,,,Every day,Has never been,Every day,Every day,Less than 3 days,nonoperating,Has never been,nonoperating,There were no,There were no,There were no,There were no,There were no,There were no,Between 1 and 2 days,There were no,There were no,There were no,There were no,There were no,There were no,There were no,There were no,There were no,There were no,There were no,There were no,Days 3 to 5,There were no,There were no,Every day,Every day,Every day,Every day,There were no,There were no,Every day,SÃ,Do not,,,,,,,,,,,,,,,,,,,,,170,67,28,SÃ,SÃ,Every day,They served less than 3 meals to the day,No recommendations from the specialist remain as to the menu served,There was not any public day-dairy formulas,1899-12-30T00: 00: 00.000Z,1899-12-30T00: 00: 00.000Z,1,3,2,2,1,0,2,2,1,2,0,"<3 days, no alternative support (tanks)","<3 days, no alternative support (tanks)","<3 days, no alternative support (tanks)"
2019-07-16,151,"28, 2019",BOL000,type III,Bolivar,IVSS,,It works every day,No,0.0,No,0,Within 3 days,1899-12-30T00: 00: 00.000Z,Do not,9.0,"Equipment, drugs, human resources, structural Rest (water, O2, suction)",5.0,"Equipment, drugs, human resources, structural Rest (water, O2, suction)",,,,nonoperating,Every day,Every day,Every day,nonoperating,Has never been,Has never been,nonoperating,Between 1 and 2 days,Between 1 and 2 days,Days 3 to 5,Every day,Days 3 to 5,Every day,Every day,Between 1 and 2 days,Days 3 to 5,Days 3 to 5,There were no,Between 1 and 2 days,Between 1 and 2 days,Between 1 and 2 days,There were no,There were no,Every day,Every day,Days 3 to 5,Every day,Days 3 to 5,Days 3 to 5,Every day,Days 3 to 5,Every day,Every day,Days 3 to 5,Days 3 to 5,Every day,Do not,,,,,,,,,,,,,,,,,,,,,,300,138,62,SÃ,Do not,,,,,1899-12-30T04: 00: 00.000Z,1899-12-30T03: 00: 00.000Z,10,11,1,26,6,9,10,0,3,12,6,There was no water any public day,"<3 days, with alternate support",There was water every day
2019-07-17,979,"28, 2019",NES000,type III,Nueva Esparta,IVSS,0,It works every day,No,0.0,No,0,Within 3 days,1899-12-30T00: 00: 00.000Z,Do not,9.0,"Equipment, medicines, Human Resources",10.0,"Equipment, medicines, Human Resources",There were no,There were no,There were no,Less than 3 days,Every day,Every day,Every day,nonoperating,nonoperating,nonoperating,nonoperating,Every day,Every day,There were no,There were no,There were no,There were no,There were no,There were no,There were no,There were no,Every day,There were no,There were no,There were no,There were no,There were no,Every day,Every day,Every day,Every day,There were no,There were no,Every day,Every day,Every day,Every day,There were no,There were no,Every day,SÃ,SÃ,25.0,0.0,25.0,5.0,20.0,20.0,9.0,Every day,Every day,Every day,There were no,There were no,There were no,Every day,Days 3 to 5,Days 3 to 5,There were no,Every day,Every day,There were no,420,300,42,SÃ,SÃ,Every day,"3 meals to the day (breakfast, lunch and dinner) is served",No recommendations from the specialist remain as to the menu served,There was not any public day-dairy formulas,1899-12-31T06: 00: 00.000Z,1899-12-31T21: 00: 00.000Z,12,15,0,12,4,6,12,0,6,6,2,There was water every day,There was water every day,There was water every day
2019-07-17,334,"28, 2019",DCA006,type IV,Dtto Capital,MPPS,0,There does not work,No,0.0,No,0,Within 3 days,1899-12-30T00: 00: 00.000Z,Do not,1.0,Team Human Resource,0.0,Human resource,,,,nonoperating,nonoperating,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Do not,,,,,,,,,,,,,,,,,,,,,,475,270,17,SÃ,Do not,,,,,1899-12-30T01: 00: 00.000Z,1899-12-30T00: 30: 00.000Z,8,4,0,4,0,8,2,0,3,3,0,"<3 days, no alternative support (tanks)","<3 days, no alternative support (tanks)","<3 days, no alternative support (tanks)"
2019-07-18,930,27 2019,LAR000,type IV,Lara,MPPS,,It works every day,No,,No,0,Within 3 days,1899-12-30T00: 00: 00.000Z,Do not,2.0,Medicines,1.0,anesthetics and compresses gases were completed,Every day,There were no,Days 3 to 5,Every day,nonoperating,Every day,Every day,nonoperating,Days 3 to 5,nonoperating,Days 3 to 5,Every day,Every day,Every day,There were no,There were no,Days 3 to 5,There were no,There were no,Days 3 to 5,Between 1 and 2 days,Every day,Every day,There were no,Every day,There were no,There were no,Every day,Every day,Days 3 to 5,Every day,There were no,Days 3 to 5,Every day,Every day,Every day,Every day,There were no,Every day,Every day,SÃ,SÃ,55.0,0.0,55.0,0.0,55.0,15.0,11.0,Every day,Every day,Every day,There were no,There were no,There were no,There were no,Every day,Days 3 to 5,There were no,There were no,Days 3 to 5,Days 3 to 5,545,490,66,SÃ,SÃ,Every day,"3 meals to the day (breakfast, lunch and dinner) is served",No recommendations from the specialist remain as to the menu served,There was not any public day-dairy formulas,1899-12-30T14: 00: 00.000Z,1899-12-30T10: 00: 00.000Z,5,2,3,6,4,3,2,2,6,5,0,"<3 days, no alternative support (tanks)","<3 days, no alternative support (tanks)","<3 days, no alternative support (tanks)"
2019-07-18,74,"28, 2019",ARA001,type IV,Aragua,Military health,0,It works every day,No,0.0,No,0,Within 3 days,1899-12-30T00: 00: 00.000Z,Do not,0.0,,0.0,,,,,Every day,Has never been,Every day,Every day,Days 3 to 5,Less than 3 days,Has never been,Less than 3 days,Days 3 to 5,Between 1 and 2 days,Days 3 to 5,Between 1 and 2 days,Days 3 to 5,Between 1 and 2 days,Every day,Every day,There were no,Days 3 to 5,Between 1 and 2 days,Between 1 and 2 days,Days 3 to 5,Days 3 to 5,Between 1 and 2 days,Days 3 to 5,Every day,Every day,Days 3 to 5,Every day,Every day,There were no,There were no,Days 3 to 5,Between 1 and 2 days,Every day,Between 1 and 2 days,Days 3 to 5,Every day,Do not,,,,,,,,,,,,,,,,,,,,,,304,103,24,SÃ,SÃ,Days 3 to 5,They served less than 3 meals to the day,No recommendations from the specialist remain as to the menu served,There was not any public day-dairy formulas,1899-12-30T12: 00: 00.000Z,1899-12-30T08: 00: 00.000Z,21,9,0,7,8,12,8,0,3,5,9,"3 to 5 days, with alternate support","3 to 5 days, with alternate support","3 to 5 days, with alternate support"
