s_no,timestamp,report_week,hospital_code,hospital_type,federal_entity,administrative_entity,power_outage_equipment_failure_specify,power_generator_available,power_outage_mortatility,power_outage_deaths_count,power_outage,power_outage_avg_failures_per_day,power_outage_days_count,power_outage_avg_duration,power_outage_equipment_failure,mortality_hospital_failure_cardiovascular_count,mortality_hospital_failure_cardiovascular_cause,mortality_hospital_failure_trauma_count,mortality_hospital_failure_trauma_cause,strike_medical_staff_affected,strike_nurses_affected,strike_other_staff_affected,strike_patients_affected,strike_other_affected,staff_violence_affected_reasons,epidemiological_emergency_suspected_diseases,rrt_avail_high_flow_catheters,rrt_avail_blood_tests_hiv_hvb_hvc_vdr,rrt_avail_immediate_access_urea_reduction_bun,nCoV_face_mask_avail,nCoV_respiratory_isolation_protocol_avail,nCoV_isolation_area_avail,operability_icu,operability_icu_p,operability_er,operability_sx,operability_lab,operability_uls,operability_ct_mri,operability_xr,er_avail_adrenalin,er_avail_atropine,er_avail_dopamine,er_avail_cephalosporins_betalactams,er_avail_aminoglycosides_quinolone,er_avail_vancomycin_clindamycin,er_avail_lidocaine,er_avail_minor_opioids,er_avail_major_opioids,er_avail_iv_fluids,er_avail_diazepam_dph,er_avail_heparin,er_avail_steroids,er_avail_insulin,er_avail_asthma,er_avail_blood_pressure,er_avail_defibrillator,er_avail_ott_intubation,er_avail_catheter,er_avail_oxygen_suction,sx_avail_minor_opioids,sx_avail_major_opioids,sx_avail_anesthetic_gases,sx_avail_anesthetics_iv,sx_avail_relaxants,sx_avail_ott_intubation,sx_avail_patient_lingerie_kit,sx_avail_disposables_mask_gloves_gown,sx_avail_oxygen_suction,rrt_avail,rrt_operability,rrt_date_stopped_operability,rrt_reason_stopped_operability,rrt_avg_daily_patients,rrt_peritoneal_count,rrt_peritoneal_reason_not_performed,rrt_num_hemodialysis,rrt_num_hemodialysis_acute,rrt_num_hemodialysis_chronic,rrt_num_hemodialysis_equipments,rrt_num_hemodialysis_equipments_operability,rrt_hemodialysis_avail_filter,rrt_hemodialysis_avail_lines,rrt_hemodialysis_avail_kit_hemodialysis,rrt_hemodialysis_avail_iron,rrt_hemodialysis_avail_b_complex,rrt_hemodialysis_avail_calcium,rrt_hemodialysis_avail_zemblar,rrt_reverse_osmosis_unit_operability,rrt_staff_nephrology,rrt_staff_md,rrt_staff_resident,rrt_staff_nurse,rrt_staff_nurse_nephrologist,arch_beds_count,op_beds_count,op_beds_er_count,nutr_avail,nutr_operability,nutr_date_stopped_operability,nutr_reason_stopped_operability,nutr_num,nutr_daily_freq_meal,nutr_quality,nutr_freq_milk_formulas,pneumonia_antibiotic_therapy_latency,mi_thrombolytic_treatment_latency,er_staff_residents_and_rural_day_on_call,er_staff_specialist_day_on_call,er_staff_mic_day_on_call,er_staff_nurse_day_on_call,er_staff_non_professional_nurse_day_on_call,er_staff_residents_and_rural_night_on_call,er_staff_specialist_night_on_call,er_staff_mic_night_on_call,op_pavilions_count,er_staff_nurse_night_on_call,er_staff_non_professional_nurse_night_on_call,wash_failure_icu,wash_failure_er,wash_failure_sx
459,2019-06-27T21: 21: 32.119Z,"26, 2019",BAR000,type IV,Barinas,"MPPS, Military Health, Govt. State, Barrio Adentro",,It works every day,Do not,0,Yes,1,Days 3 to 5,1899-12-30T02: 30: 00.000Z,Do not,0,,2,"Equipment, drugs",,,,,,,Gillan Barre Syndrome ©,Between 1 and 2 days,There were no,There were no,,,,Every day,Every day,Every day,Every day,nonoperating,nonoperating,nonoperating,nonoperating,There were no,There were no,There were no,There were no,Between 1 and 2 days,Between 1 and 2 days,There were no,There were no,There were no,Between 1 and 2 days,There were no,There were no,There were no,There were no,Between 1 and 2 days,There were no,Between 1 and 2 days,Between 1 and 2 days,Between 1 and 2 days,Every day,There were no,There were no,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,Between 1 and 2 days,Days 3 to 5,Every day,S√,S√,,,40,0,Lack of surgical material lack of input method © physicians,40,3,37,16,15,Between 1 and 2 days,Every day,Every day,There were no,There were no,There were no,There were no,Every day,Every day,Every day,Days 3 to 5,Every day,Days 3 to 5,230,148,40,S√,S√,,,Days 3 to 5,"3 meals to the day (breakfast, lunch and dinner) is served",recommendations of the specialist remain as to the menu served,There was less than 3-dairy formulas days,1899-12-30T05: 00: 00.000Z,1899-12-30T05: 00: 00.000Z,2,1,2,1,2,3,2,2,2,2,3,"<3 days, no alternative support (tanks)","<3 days, no alternative support (tanks)","<3 days, no alternative support (tanks)"
460,2019-08-16T00: 40: 55.501Z,33 of 2019,BAR000,type IV,Barinas,"MPPS, Military Health, Govt. State, Barrio Adentro",,It works every day,Do not,NA,Yes,2,Days 3 to 5,1899-12-30T02: 00: 00.000Z,Do not,0,,0,,,,,,,,"Severe hemorrhagic fever (UTI), Gillan Barre Syndrome ©",There were no,There were no,There were no,,,,Days 3 to 5,Days 3 to 5,Every day,Every day,nonoperating,Less than 3 days,nonoperating,nonoperating,Between 1 and 2 days,Between 1 and 2 days,There were no,Between 1 and 2 days,Between 1 and 2 days,Between 1 and 2 days,There were no,There were no,There were no,Between 1 and 2 days,There were no,There were no,There were no,There were no,Between 1 and 2 days,There were no,Between 1 and 2 days,Between 1 and 2 days,Between 1 and 2 days,Days 3 to 5,There were no,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,Between 1 and 2 days,Days 3 to 5,Days 3 to 5,Days 3 to 5,S√,S√,,,48,0,Lack of surgical material lack of input method © physicians,48,0,48,16,16,Every day,Every day,Every day,There were no,There were no,There were no,There were no,Every day,Every day,Every day,Days 3 to 5,Days 3 to 5,Every day,230,148,48,S√,S√,,,Every day,"3 meals to the day (breakfast, lunch and dinner) is served",recommendations of the specialist remain as to the menu served,Was-dairy formulas 3 to 5 days,1899-12-30T05: 00: 00.000Z,1899-12-30T05: 00: 00.000Z,2,1,2,2,2,2,2,2,2,2,2,"<3 days, no alternative support (tanks)","<3 days, no alternative support (tanks)","<3 days, no alternative support (tanks)"
461,2019-12-28T10: 05: 37.154Z,52 of 2019,BAR000,type IV,Barinas,"MPPS, Military Health, Govt. State, Barrio Adentro",,It works every day,Do not,NA,Yes,2,Every day,1899-12-30T03: 00: 00.000Z,Do not,NA,,NA,,,Protests with temporary suspension of activities,,,,,,There were no,There were no,There were no,,,,Every day,Every day,Every day,Every day,nonoperating,Less than 3 days,nonoperating,nonoperating,Between 1 and 2 days,Between 1 and 2 days,There were no,Between 1 and 2 days,Between 1 and 2 days,Between 1 and 2 days,There were no,There were no,Between 1 and 2 days,Between 1 and 2 days,Between 1 and 2 days,There were no,There were no,Between 1 and 2 days,Between 1 and 2 days,Between 1 and 2 days,Days 3 to 5,Days 3 to 5,Days 3 to 5,Every day,There were no,Between 1 and 2 days,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,Every day,S√,S√,,,48,0,Lack of surgical material lack of input method © physicians,48,6,42,16,16,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,There were no,Every day,Every day,Every day,Every day,Every day,Every day,230,198,48,S√,S√,,,Every day,"3 meals to the day (breakfast, lunch and dinner) is served",recommendations of the specialist remain as to the menu served,There was less than 3-dairy formulas days,1899-12-30T05: 00: 00.000Z,1899-12-30T05: 00: 00.000Z,2,1,3,1,1,3,2,3,2,2,2,"3 to 5 days, no alternative support","3 to 5 days, no alternative support","3 to 5 days, no alternative support"
820,2019-06-04T12: 09: 56.497Z,22 2019,BAR000,type IV,Barinas,"MPPS, Military Health, Govt. State, Barrio Adentro",0,It works every day,Do not,0,Yes,1,Days 3 to 5,1899-12-30T04: 00: 00.000Z,Do not,2,Medicines,0,,,,,,,,,,,,,,,Does not exist,Does not exist,Does not exist,Does not exist,nonoperating,Less than 3 days,nonoperating,nonoperating,There were no,Between 1 and 2 days,There were no,There were no,Between 1 and 2 days,Between 1 and 2 days,There were no,There were no,There were no,Between 1 and 2 days,There were no,There were no,There were no,There were no,Between 1 and 2 days,There were no,Days 3 to 5,Days 3 to 5,Days 3 to 5,Every day,There were no,There were no,Between 1 and 2 days,Between 1 and 2 days,Between 1 and 2 days,Between 1 and 2 days,Between 1 and 2 days,Between 1 and 2 days,Days 3 to 5,S√,S√,,,48,0,Lack of surgical equipment,48,5,43,16,15,Days 3 to 5,Days 3 to 5,Days 3 to 5,There were no,There were no,There were no,Between 1 and 2 days,Days 3 to 5,Days 3 to 5,Every day,Days 3 to 5,Every day,Days 3 to 5,220,168,42,S√,S√,,,Days 3 to 5,"3 meals to the day (breakfast, lunch and dinner) is served",recommendations of the specialist remain as to the menu served,There was less than 3-dairy formulas days,1899-12-30T05: 00: 00.000Z,1899-12-30T05: 00: 00.000Z,3,1,2,1,2,3,2,2,2,2,1,"<3 days, no alternative support (tanks)","<3 days, no alternative support (tanks)","<3 days, no alternative support (tanks)"
821,2019-10-27T19: 02: 49.123Z,43 2019,BAR000,type IV,Barinas,"MPPS, Military Health, Govt. State, Barrio Adentro",,It works every day,Do not,0,Yes,2,Days 3 to 5,1899-12-30T03: 00: 00.000Z,Do not,0,,0,,,,,,,,,There were no,There were no,There were no,,,,Every day,Days 3 to 5,Every day,Every day,nonoperating,Less than 3 days,nonoperating,nonoperating,Between 1 and 2 days,Between 1 and 2 days,There were no,Between 1 and 2 days,Between 1 and 2 days,Between 1 and 2 days,Between 1 and 2 days,There were no,Between 1 and 2 days,Between 1 and 2 days,Between 1 and 2 days,There were no,There were no,There were no,Between 1 and 2 days,Between 1 and 2 days,Between 1 and 2 days,Between 1 and 2 days,Between 1 and 2 days,Every day,There were no,Between 1 and 2 days,Between 1 and 2 days,Between 1 and 2 days,Between 1 and 2 days,Between 1 and 2 days,Between 1 and 2 days,Between 1 and 2 days,Every day,S√,S√,,,48,0,Lack of surgical material lack of input method © physicians,48,5,43,16,16,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,,Every day,Days 3 to 5,Every day,Every day,Every day,Every day,230,190,50,S√,S√,,,Every day,"3 meals to the day (breakfast, lunch and dinner) is served",recommendations of the specialist remain as to the menu served,Was-dairy formulas 3 to 5 days,1899-12-30T05: 00: 00.000Z,1899-12-30T05: 00: 00.000Z,2,2,3,2,2,3,2,3,2,2,2,"<3 days, no alternative support (tanks)","<3 days, no alternative support (tanks)","<3 days, no alternative support (tanks)"
822,2019-11-16T11: 29: 31.225Z,46 of 2019,BAR000,type IV,Barinas,"MPPS, Military Health, Govt. State, Barrio Adentro",,It works every day,Do not,NA,Yes,1,Days 3 to 5,1899-12-30T01: 00: 00.000Z,Do not,NA,,NA,,,Protests with temporary suspension of activities,,,,"Theft, robbery or shooting inside the hospital.",,Between 1 and 2 days,Between 1 and 2 days,Between 1 and 2 days,,,,Every day,Every day,Every day,Every day,nonoperating,Less than 3 days,nonoperating,nonoperating,Between 1 and 2 days,Between 1 and 2 days,There were no,Between 1 and 2 days,Between 1 and 2 days,Between 1 and 2 days,There were no,Between 1 and 2 days,Between 1 and 2 days,Between 1 and 2 days,There were no,There were no,There were no,Between 1 and 2 days,Between 1 and 2 days,Between 1 and 2 days,Days 3 to 5,Days 3 to 5,Days 3 to 5,Every day,Between 1 and 2 days,There were no,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,Every day,S√,S√,,,48,0,Lack of surgical material lack of input method © physicians,48,5,43,16,16,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,Between 1 and 2 days,Every day,Days 3 to 5,Every day,Every day,Every day,Days 3 to 5,230,198,48,S√,S√,,,Every day,"3 meals to the day (breakfast, lunch and dinner) is served",recommendations of the specialist remain as to the menu served,There was less than 3-dairy formulas days,1899-12-30T05: 00: 00.000Z,1899-12-30T05: 00: 00.000Z,3,1,3,1,2,3,3,3,2,2,2,"3 to 5 days, no alternative support","3 to 5 days, no alternative support","3 to 5 days, no alternative support"
823,2019-11-10T22: 49: 34.305Z,45 2019,BAR000,type IV,Barinas,"MPPS, Military Health, Govt. State, Barrio Adentro",,It works every day,Do not,NA,Yes,1,Days 3 to 5,1899-12-30T01: 00: 00.000Z,Do not,NA,,NA,,,,,,,,Gillan Barre Syndrome ©,There were no,There were no,There were no,,,,Every day,Every day,Every day,Every day,nonoperating,nonoperating,nonoperating,nonoperating,Between 1 and 2 days,Between 1 and 2 days,There were no,Between 1 and 2 days,Between 1 and 2 days,Between 1 and 2 days,There were no,There were no,Between 1 and 2 days,Between 1 and 2 days,There were no,There were no,Between 1 and 2 days,Between 1 and 2 days,Between 1 and 2 days,Between 1 and 2 days,Between 1 and 2 days,Between 1 and 2 days,Between 1 and 2 days,Days 3 to 5,There were no,Between 1 and 2 days,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,Every day,S√,S√,,,48,0,Lack of surgical material lack of input method © physicians,48,5,43,16,16,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,There were no,Every day,Days 3 to 5,Every day,Every day,Every day,Days 3 to 5,230,198,48,S√,S√,,,Every day,"3 meals to the day (breakfast, lunch and dinner) is served",recommendations of the specialist remain as to the menu served,Was-dairy formulas 3 to 5 days,1899-12-30T05: 00: 00.000Z,1899-12-30T05: 00: 00.000Z,2,1,3,2,2,3,2,3,2,2,2,"3 to 5 days, no alternative support","3 to 5 days, no alternative support","3 to 5 days, no alternative support"
824,2020-01-19T23: 52: 17.613Z,3 2020,BAR000,type IV,Barinas,"MPPS, Military Health, Govt. State, Barrio Adentro",,It works every day,Do not,NA,Yes,1,Days 3 to 5,1899-12-30T03: 00: 00.000Z,Do not,NA,,NA,,,,,,,,Gillan Barre Syndrome ©,There were no,There were no,There were no,,,,Every day,Every day,Every day,Every day,nonoperating,Less than 3 days,nonoperating,nonoperating,There were no,There were no,There were no,Days 3 to 5,Days 3 to 5,Days 3 to 5,There were no,There were no,There were no,Between 1 and 2 days,There were no,There were no,There were no,Between 1 and 2 days,There were no,Between 1 and 2 days,Days 3 to 5,Days 3 to 5,Days 3 to 5,Every day,There were no,There were no,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,Every day,S√,S√,,,46,0,Lack of surgical material lack of input method © physicians,46,0,46,16,14,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,There were no,Every day,Days 3 to 5,Every day,Every day,Days 3 to 5,Every day,230,200,50,S√,S√,,,Every day,"3 meals to the day (breakfast, lunch and dinner) is served",recommendations of the specialist remain as to the menu served,There was not any public day-dairy formulas,1899-12-30T05: 00: 00.000Z,1899-12-30T05: 00: 00.000Z,2,1,4,2,1,2,2,4,2,2,0,"<3 days, no alternative support (tanks)","<3 days, no alternative support (tanks)","<3 days, no alternative support (tanks)"
825,2019-12-07T12: 12: 01.876Z,49 of 2019,BAR000,type IV,Barinas,"MPPS, Military Health, Govt. State, Barrio Adentro",,It works every day,Do not,NA,Yes,2,Days 3 to 5,1899-12-30T02: 00: 00.000Z,Do not,1,Medicines,0,,,Protests with temporary suspension of activities,,,,"Theft, robbery or shooting inside the hospital.",Gillan Barre Syndrome ©,Between 1 and 2 days,There were no,There were no,,,,Every day,Every day,Every day,Every day,nonoperating,Less than 3 days,nonoperating,nonoperating,Between 1 and 2 days,Between 1 and 2 days,There were no,Between 1 and 2 days,Between 1 and 2 days,Between 1 and 2 days,There were no,There were no,Between 1 and 2 days,Between 1 and 2 days,There were no,There were no,There were no,Between 1 and 2 days,Between 1 and 2 days,Between 1 and 2 days,Between 1 and 2 days,Between 1 and 2 days,Between 1 and 2 days,Every day,There were no,There were no,Between 1 and 2 days,Between 1 and 2 days,Between 1 and 2 days,Between 1 and 2 days,Between 1 and 2 days,Between 1 and 2 days,Every day,S√,S√,,,48,0,Lack of surgical material lack of input method © physicians,48,0,48,16,16,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,There were no,Every day,Days 3 to 5,Every day,Every day,Every day,Days 3 to 5,230,198,56,S√,S√,,,Every day,"3 meals to the day (breakfast, lunch and dinner) is served",recommendations of the specialist remain as to the menu served,There was less than 3-dairy formulas days,1899-12-30T05: 00: 00.000Z,1899-12-30T05: 00: 00.000Z,3,1,3,1,2,4,2,4,2,2,2,"3 to 5 days, no alternative support","3 to 5 days, no alternative support","3 to 5 days, no alternative support"
826,2019-11-30T04: 18: 08.874Z,48 of 2019,BAR000,type IV,Barinas,"MPPS, Military Health, Govt. State, Barrio Adentro",,It works every day,Do not,NA,Yes,1,Days 3 to 5,1899-12-30T01: 00: 00.000Z,Do not,NA,,NA,,,Protests with temporary suspension of activities,,,,,,There were no,There were no,There were no,,,,Every day,Every day,Every day,Every day,nonoperating,Less than 3 days,nonoperating,nonoperating,Days 3 to 5,Days 3 to 5,There were no,Days 3 to 5,Days 3 to 5,Days 3 to 5,There were no,There were no,There were no,Days 3 to 5,There were no,There were no,There were no,Between 1 and 2 days,There were no,Between 1 and 2 days,Days 3 to 5,Days 3 to 5,Days 3 to 5,Every day,There were no,There were no,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,Every day,S√,S√,,,48,0,Lack of surgical material lack of input method © physicians,48,5,43,16,16,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,There were no,Every day,Days 3 to 5,Every day,Every day,Days 3 to 5,Every day,230,190,48,S√,S√,,,Every day,"3 meals to the day (breakfast, lunch and dinner) is served",recommendations of the specialist remain as to the menu served,Was-dairy formulas 3 to 5 days,1899-12-30T05: 00: 00.000Z,1899-12-30T05: 00: 00.000Z,3,1,3,2,1,3,2,3,2,2,1,"<3 days, no alternative support (tanks)","<3 days, no alternative support (tanks)","<3 days, no alternative support (tanks)"
827,2020-01-03T18: 57: 52.220Z,1 2020,BAR000,type IV,Barinas,"MPPS, Military Health, Govt. State, Barrio Adentro",,It works every day,Do not,NA,Yes,2,Every day,1899-12-30T02: 00: 00.000Z,Do not,NA,,NA,,,Protests with temporary suspension of activities,,,,,,There were no,There were no,There were no,,,,Every day,Every day,Every day,Every day,nonoperating,Less than 3 days,nonoperating,Every day,Days 3 to 5,Days 3 to 5,Between 1 and 2 days,Days 3 to 5,Days 3 to 5,Days 3 to 5,There were no,There were no,There were no,Days 3 to 5,Between 1 and 2 days,There were no,Between 1 and 2 days,Days 3 to 5,Between 1 and 2 days,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,Every day,There were no,There were no,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,Every day,S√,S√,,,48,0,Lack of surgical material lack of input method © physicians,48,0,48,16,16,Between 1 and 2 days,Between 1 and 2 days,Between 1 and 2 days,Between 1 and 2 days,Between 1 and 2 days,Between 1 and 2 days,There were no,Every day,Days 3 to 5,Every day,Every day,Days 3 to 5,Days 3 to 5,230,198,48,S√,S√,,,Days 3 to 5,"3 meals to the day (breakfast, lunch and dinner) is served",recommendations of the specialist remain as to the menu served,Was-dairy formulas 3 to 5 days,1899-12-30T05: 00: 00.000Z,1899-12-30T05: 00: 00.000Z,2,1,3,1,0,2,2,3,2,1,0,"3 to 5 days, no alternative support","3 to 5 days, no alternative support","3 to 5 days, no alternative support"
828,2019-10-13T19: 42: 59.047Z,41 2019,BAR000,type IV,Barinas,"MPPS, Military Health, Govt. State, Barrio Adentro",,It works every day,Do not,NA,Yes,2,Every day,1899-12-30T03: 00: 00.000Z,Do not,0,,0,,,,,,,"Theft, robbery or shooting inside the hospital.",,There were no,There were no,There were no,,,,Every day,Every day,Every day,Every day,nonoperating,Less than 3 days,nonoperating,nonoperating,Days 3 to 5,Days 3 to 5,Between 1 and 2 days,Days 3 to 5,Days 3 to 5,Days 3 to 5,Between 1 and 2 days,There were no,There were no,Days 3 to 5,Between 1 and 2 days,Between 1 and 2 days,Days 3 to 5,There were no,There were no,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,There were no,Between 1 and 2 days,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,Every day,S√,S√,,,48,0,Lack of surgical material lack of input method © physicians,48,8,40,16,16,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,There were no,Every day,Days 3 to 5,Every day,Every day,Every day,Every day,230,185,60,S√,S√,,,Every day,"3 meals to the day (breakfast, lunch and dinner) is served",recommendations of the specialist remain as to the menu served,Was-dairy formulas 3 to 5 days,1899-12-30T05: 00: 00.000Z,1899-12-30T05: 00: 00.000Z,2,1,3,2,1,3,2,3,2,2,2,"<3 days, no alternative support (tanks)","<3 days, no alternative support (tanks)","<3 days, no alternative support (tanks)"
829,2020-01-27T22: 10: 47.489Z,4 2020,BAR000,type IV,Barinas,"MPPS, Barrio Adentro",,It works every day,Do not,NA,Yes,2,Every day,1899-12-30T03: 00: 00.000Z,Do not,NA,,NA,,,,,,,,,There were no,There were no,There were no,Option 1,Do not,Do not,Every day,Every day,Every day,Every day,nonoperating,Less than 3 days,nonoperating,nonoperating,Between 1 and 2 days,There were no,There were no,Between 1 and 2 days,Between 1 and 2 days,Between 1 and 2 days,There were no,Between 1 and 2 days,There were no,Days 3 to 5,Between 1 and 2 days,Between 1 and 2 days,Between 1 and 2 days,Between 1 and 2 days,Between 1 and 2 days,Between 1 and 2 days,Days 3 to 5,Days 3 to 5,Days 3 to 5,Every day,There were no,There were no,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,Every day,S√,S√,,,45,0,Lack of surgical material lack of input method © physicians,45,3,42,16,15,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,There were no,Every day,Days 3 to 5,Every day,Every day,Every day,Every day,230,215,50,S√,S√,,,Every day,"3 meals to the day (breakfast, lunch and dinner) is served",recommendations of the specialist remain as to the menu served,There was every day-dairy formulas,1899-12-30T05: 00: 00.000Z,1899-12-30T05: 00: 00.000Z,2,1,3,2,1,3,2,4,2,2,1,"3 to 5 days, no alternative support","3 to 5 days, no alternative support","3 to 5 days, no alternative support"
830,2019-11-25T20: 49: 33.449Z,47 of 2019,BAR000,type IV,Barinas,"MPPS, Military Health, Govt. State, Barrio Adentro",,It works every day,Do not,NA,Yes,1,Days 3 to 5,1899-12-30T02: 00: 00.000Z,Do not,NA,,NA,,,Protests with temporary suspension of activities,,,,"Theft, robbery or shooting inside the hospital.",,There were no,There were no,There were no,,,,Every day,Every day,Every day,Every day,nonoperating,Less than 3 days,nonoperating,nonoperating,Between 1 and 2 days,Between 1 and 2 days,There were no,Between 1 and 2 days,Between 1 and 2 days,Between 1 and 2 days,There were no,There were no,There were no,Days 3 to 5,There were no,There were no,There were no,Days 3 to 5,There were no,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,Every day,There were no,There were no,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,Every day,S√,S√,,,48,0,Lack of surgical material lack of input method © physicians,48,5,43,NA,16,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,There were no,Days 3 to 5,Days 3 to 5,Every day,Every day,Every day,Days 3 to 5,230,190,48,S√,S√,,,Every day,"3 meals to the day (breakfast, lunch and dinner) is served",recommendations of the specialist remain as to the menu served,There was less than 3-dairy formulas days,1899-12-30T05: 00: 00.000Z,1899-12-30T05: 00: 00.000Z,3,1,3,2,2,4,2,3,2,2,2,"3 to 5 days, no alternative support","3 to 5 days, no alternative support","3 to 5 days, no alternative support"
831,2019-10-19T20: 45: 48.738Z,42 2019,BAR000,type IV,Barinas,"MPPS, Military Health, Govt. State, Barrio Adentro",fans,It works every day,Do not,NA,Yes,2,Every day,1899-12-30T02: 30: 00.000Z,S√,0,,0,,,,,,,,,There were no,There were no,,,,,Every day,Every day,Every day,Every day,nonoperating,Less than 3 days,nonoperating,nonoperating,Between 1 and 2 days,Between 1 and 2 days,There were no,Between 1 and 2 days,Between 1 and 2 days,Between 1 and 2 days,There were no,There were no,There were no,Between 1 and 2 days,There were no,There were no,There were no,There were no,Between 1 and 2 days,Between 1 and 2 days,Days 3 to 5,Days 3 to 5,Days 3 to 5,Every day,There were no,There were no,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,Every day,S√,S√,,,48,0,Lack of surgical material lack of input method © physicians,48,8,40,16,16,Every day,Every day,Every day,Every day,Every day,,There were no,Every day,Days 3 to 5,Every day,Every day,Every day,Days 3 to 5,230,195,48,S√,S√,,,Every day,"3 meals to the day (breakfast, lunch and dinner) is served",recommendations of the specialist remain as to the menu served,Was-dairy formulas 3 to 5 days,1899-12-30T05: 00: 00.000Z,1899-12-30T05: 00: 00.000Z,2,1,3,1,2,3,2,3,2,2,2,"3 to 5 days, no alternative support","3 to 5 days, no alternative support","3 to 5 days, no alternative support"
832,2019-07-29T12: 40: 19.300Z,30 2019,BAR000,type IV,Barinas,"MPPS, Military Health, Govt. State, Barrio Adentro",,It works every day,Do not,NA,Yes,1,Days 3 to 5,1899-12-30T03: 00: 00.000Z,Do not,0,,0,,,,,,,,"Conga © nito Zika Syndrome, Gillan Barre Syndrome ©",There were no,There were no,There were no,,,,Every day,Every day,Every day,Every day,nonoperating,Less than 3 days,nonoperating,nonoperating,Days 3 to 5,Days 3 to 5,There were no,Days 3 to 5,Days 3 to 5,Days 3 to 5,Between 1 and 2 days,There were no,Between 1 and 2 days,Days 3 to 5,There were no,There were no,There were no,There were no,Days 3 to 5,There were no,Days 3 to 5,Days 3 to 5,Days 3 to 5,Every day,There were no,Days 3 to 5,Every day,Every day,Every day,Days 3 to 5,Days 3 to 5,Days 3 to 5,Every day,S√,S√,,,36,0,Lack of surgical material lack of input method © physicians,36,0,36,16,12,Days 3 to 5,Days 3 to 5,Days 3 to 5,There were no,There were no,There were no,,Days 3 to 5,Days 3 to 5,Every day,Days 3 to 5,Every day,Every day,230,155,48,S√,S√,,,Days 3 to 5,"3 meals to the day (breakfast, lunch and dinner) is served",recommendations of the specialist remain as to the menu served,Was-dairy formulas 3 to 5 days,1899-12-30T10: 00: 00.000Z,1899-12-30T10: 00: 00.000Z,2,1,2,1,2,3,2,2,2,2,2,"3 to 5 days, no alternative support","3 to 5 days, no alternative support","3 to 5 days, no alternative support"
